Freq(Hz),Sdd11(mag),Sdd11(phase),Sds12(mag),Sds12(phase),Ssd21(mag),Ssd21(phase),Sss22(mag),Sss22(phase)
1.00E+07,-27.61557,-166.93788,-13.62882,-5.5268,-12.81794,-6.57192,-20.13341,43.82785
1.60E+07,-34.23537,159.70164,-12.92773,-6.28838,-12.81303,-9.48556,-19.37786,-0.42818
2.20E+07,-33.63838,178.39011,-12.81389,-13.18139,-12.52328,-12.139,-20.60957,-1.29928
2.80E+07,-31.84376,130.13182,-13.13809,-13.96855,-12.76983,-13.24546,-20.09516,-0.22567
3.40E+07,-30.32472,133.04834,-13.3407,-16.81509,-13.01873,-15.24244,-21.26942,-3.21897
4.00E+07,-29.46026,108.74044,-12.95862,-18.67135,-12.82626,-19.73673,-21.14564,-6.13538
4.59E+07,-28.78969,126.63984,-12.79385,-24.04047,-12.98901,-24.4374,-22.33574,-7.29812
5.19E+07,-29.12976,108.03172,-13.13538,-25.9799,-12.99336,-24.41071,-21.2024,-9.08506
5.79E+07,-34.20849,106.23374,-13.38383,-27.49644,-13.03372,-28.64402,-20.20564,3.33716
6.39E+07,-32.04565,102.57281,-12.98537,-31.49248,-13.469,-30.8589,-19.52821,-6.88697
6.99E+07,-33.44118,98.08469,-13.20977,-34.7815,-12.66297,-34.31551,-20.39306,-5.20074
7.59E+07,-30.47517,94.96883,-12.9296,-35.56575,-12.93906,-36.49326,-20.46926,-4.42579
8.19E+07,-30.88243,81.27171,-13.43157,-39.36929,-13.17699,-38.90104,-19.56427,-0.1173
8.79E+07,-32.20956,66.97906,-13.53413,-41.32351,-13.09026,-42.37515,-19.88531,-7.03098
9.39E+07,-30.44153,60.59576,-13.20217,-44.52967,-12.98925,-45.79605,-20.18575,-7.44003
9.99E+07,-30.35498,68.93121,-13.32815,-47.41262,-13.17868,-48.26596,-19.89993,-10.97233
1.06E+08,-28.76087,49.5406,-13.18798,-49.3018,-13.15406,-52.46447,-20.38728,-9.9681
1.12E+08,-28.6595,51.2482,-13.25099,-53.1501,-13.18923,-53.50745,-20.22561,-13.18918
