freq	dB(S(1,2))
0.00000000000000000E0	-5.78596479931972496E-15
9.15010897112660793E0	-4.82163733276643747E-15
9.15010897112660793E1	-3.85730986621314997E-15
9.15010897112660793E2	-4.05017535952381547E-14
9.15010897112660793E3	-4.08585547578723940E-12
1.15193047044370678E4	-6.48028057524050638E-12
1.45019454186159269E4	-1.02585155891999236E-11
1.82568676079475911E4	-1.62595254135701883E-11
2.29840345714070171E4	-2.57677942338085986E-11
2.89351851874999522E4	-4.08363752262280411E-11
3.64272399275138659E4	-6.47227665728981272E-11
4.58591780262703264E4	-1.02581298582678215E-10
5.77332845812644013E4	-1.62567288640541019E-10
7.26818990656981345E4	-2.57658655792194402E-10
9.15010897112661326E4	-4.08354108996253995E-10
1.15193047044370744E5	-6.47195842944285182E-10
1.45019454186159313E5	-1.02573101804663280E-9
1.82568676079476022E5	-1.62566902923246270E-9
2.29840345714070304E5	-2.57650844774107401E-9
2.89351851874999699E5	-4.08347455223123390E-9
3.64272399275138881E5	-6.47186007021123810E-9
4.58591780262703530E5	-1.02571703584343732E-8
5.77332845812644369E5	-1.62564386165472441E-8
7.26818990656981789E5	-2.57644991650291155E-8
9.15010897112661681E5	-4.08334698034569854E-8
1.15193047044370811E6	-6.47153945302605571E-8
1.45019454186159380E6	-1.02563740713102258E-7
1.82568676079476044E6	-1.62544423062702448E-7
2.29840345714070349E6	-2.57595079569561758E-7
2.89351851874999877E6	-4.08209270807484437E-7
3.64272399275139014E6	-6.46839013768946014E-7
4.58591780262703619E6	-1.02484669758454583E-6
5.77332845812644546E6	-1.62345935690629140E-6
7.26818990656982145E6	-2.57097016483409302E-6
9.15010897112662214E6	-4.06960240908408366E-6
1.15193047044370855E7	-6.43709655491559829E-6
1.45019454186159469E7	-1.01701802166756861E-5
1.82568676079476200E7	-1.60392045043921239E-5
2.29840345714070571E7	-2.52238410906332700E-5
2.89351851875000055E7	-3.94947848776060262E-5
3.27155653823729153E7	-5.00353580453870350E-5
3.65137352158952400E7	-6.17044843320765590E-5
4.59680691428141142E7	-9.49991861984391583E-5
5.78703703750000109E7	-1.44126337626601675E-4
7.09032917846244981E7	-2.04710042931100489E-4
8.68055555624999897E7	-2.84600081430440710E-4
1.00608929034085004E8	-3.56565684930009219E-4
1.15740740750000026E8	-4.36142722817190975E-4
1.44675925937500027E8	-5.86087187325705372E-4
1.73611111124999984E8	-7.30967969167751264E-4
2.02546296312500029E8	-8.71746382604316139E-4
2.31481481500000053E8	-1.01075323713531162E-3
2.60416666687500031E8	-1.15031525676871893E-3
2.89351851875000055E8	-1.29230205314970981E-3
3.18287037062500033E8	-1.43806310078069988E-3
3.47222222249999968E8	-1.58849698522420946E-3
3.76157407437499947E8	-1.74414835014477210E-3
4.05092592625000059E8	-1.90529659392764916E-3
4.34027777812499949E8	-2.07202742347444069E-3
4.62962963000000105E8	-2.24428776170142497E-3
5.20833333375000063E8	-2.60472814193844471E-3
5.78703703750000109E8	-2.98474717747440366E-3
6.36574074125000067E8	-3.38202234581050654E-3
6.94444444499999936E8	-3.79416267401006735E-3
7.52314814874999893E8	-4.21892705316347261E-3
8.10185185250000117E8	-4.65434470346997564E-3
8.68055555624999897E8	-5.09877435845535043E-3
9.25925926000000210E8	-5.55092324573839235E-3
1.00308641981250002E9	-6.16419599866458778E-3
1.08024691362499992E9	-6.78812906553689466E-3
1.15740740743750026E9	-7.42214192613207935E-3
1.23456790124999993E9	-8.06628561342113848E-3
1.31172839506250005E9	-8.72104333578894853E-3
1.38888888887499973E9	-9.38714366519353760E-3
1.46604938268750029E9	-1.00653982537410625E-2
1.54320987649999974E9	-1.07565713287972331E-2
1.69753086412499998E9	-1.21799616712938841E-2
1.85185185175000022E9	-1.36598401277696357E-2
2.00617283937500002E9	-1.51961483929023045E-2
2.16049382700000026E9	-1.67908739696862264E-2
2.26766117974999970E9	-1.79423836680685822E-2
2.37482853249999959E9	-1.91630953097942358E-2
2.48199588524999948E9	-2.06016243417018741E-2
2.58916323799999981E9	-2.42123190397794241E-2
2.59452160562500023E9	-2.48018722065642283E-2
2.59987997324999975E9	-2.55668943446345720E-2
2.60523834087500017E9	-2.65997787586533896E-2
2.61059670850000014E9	-2.80651849702884304E-2
2.61595507612500011E9	-3.02816000487205983E-2
2.62131344375000008E9	-3.39355601877948310E-2
2.62667181137500005E9	-4.07467053515664279E-2
2.63203017899999958E9	-5.60869105218095676E-2
2.63336977090625002E9	-6.30120631190739822E-2
2.63470936281249912E9	-7.23223521841585715E-2
2.63604895471875000E9	-8.52120731642709117E-2
2.63738854662500000E9	-1.03656863422116263E-1
2.63805834257812544E9	-1.15929680870949392E-1
2.63872813853124999E9	-1.30994501891922166E-1
2.63939793448437499E9	-1.49626261267971938E-1
2.64006773043749954E9	-1.72788570643317763E-1
2.64073752639062498E9	-2.01596074010769932E-1
2.64140732234374909E9	-2.37127230112354193E-1
2.64207711829687586E9	-2.79899472001399996E-1
2.64274691424999997E9	-3.28732862320404218E-1
2.64341671020312496E9	-3.78924065036869084E-1
2.64408650615624996E9	-4.20767794496357350E-1
2.64475630210937496E9	-4.41437205014675182E-1
2.64542609806249995E9	-4.32285121034389874E-1
2.64609589401562539E9	-3.95962401565655320E-1
2.64676568996874950E9	-3.44409473360757534E-1
2.64743548592187494E9	-2.90249501750296268E-1
2.64810528187500038E9	-2.41246978145388757E-1
2.64877507782812538E9	-2.00250337132425882E-1
2.64944487378124993E9	-1.67256364805186819E-1
2.65011466973437448E9	-1.41132475092063614E-1
