Freq(Hz),Sdd11(mag),Sdd11(phase),Sdd12(mag),Sdd12(phase),Sdd21(mag),Sdd21(phase),Sdd22(mag),Sdd22(phase)
1.00E+07,-12.68923,-112.81882,-25.91015,-55.10083,21.26613,179.17995,-18.76277,-53.10096
1.60E+07,-15.61059,-112.39739,-39.82719,81.92094,21.34658,-176.0448,-16.6155,-6.28574
2.20E+07,-16.73002,-121.50944,-33.88339,124.00147,21.98109,-174.06863,-16.20642,-0.50086
2.80E+07,-17.45227,-129.97571,-38.65311,81.25359,22.29504,-173.80486,-17.56178,-15.29163
3.40E+07,-18.69725,-143.85139,-35.80059,114.30515,22.67504,-174.94542,-16.63053,-9.4252
4.00E+07,-20.65743,-152.5892,-40.66396,90.7393,22.88965,-175.59941,-17.09901,-10.78273
4.59E+07,-20.90224,-157.57341,-47.79164,62.44897,23.10004,-177.10423,-16.69268,-9.86024
5.19E+07,-19.72621,-157.8168,-47.69551,-173.15474,23.23881,-178.6996,-16.8663,-8.15039
5.79E+07,-21.9357,-163.34909,-40.47688,107.36909,23.34638,-179.5219,-17.06913,-9.33055
6.39E+07,-20.95844,-161.987,-55.71053,137.0835,23.43794,179.1019,-16.63923,-10.14187
6.99E+07,-21.02513,-162.37329,-56.11118,81.7216,23.51419,177.98749,-16.63743,-12.54136
7.59E+07,-21.40068,-170.5179,-53.25824,-97.90151,23.57809,176.83353,-17.01809,-9.5895
8.19E+07,-20.97923,-168.457,-45.63261,94.18005,23.62922,175.52126,-16.65331,-12.19858
8.79E+07,-21.2488,-168.45338,-40.74279,124.97738,23.66802,174.48244,-16.66063,-10.18563
9.39E+07,-21.23605,179.03056,-48.8128,31.48381,23.66633,173.43985,-16.81692,-12.10414
9.99E+07,-21.40293,176.09648,-50.47291,122.17679,23.68329,172.53561,-16.25387,-14.43497
1.06E+08,-20.6318,-177.46866,-41.1412,176.66165,23.70147,171.36372,-16.6839,-15.46514
1.12E+08,-20.35135,-179.2663,-42.90224,-147.81044,23.70584,170.44562,-16.92567,-13.30701
1.18E+08,-21.35077,177.46761,-46.30604,-3.68988,23.77005,169.58107,-17.27602,-17.73284
1.24E+08,-21.84948,173.49854,-47.79491,152.85243,23.75592,168.77882,-16.60881,-15.76647
1.30E+08,-20.5674,174.41206,-43.59294,-83.58643,23.79013,167.58841,-16.15013,-15.7608
1.36E+08,-22.07768,174.44362,-56.71877,-130.48926,23.79969,166.71196,-16.51388,-17.26965
1.42E+08,-21.03827,173.29453,-51.97085,55.01679,23.80358,165.81638,-16.73897,-16.90706
1.48E+08,-22.41844,176.04898,-42.81482,151.11385,23.77993,164.96663,-16.91957,-21.31747
